7888,8490,7811,7856,8771,8803,49619,8269.83,12:00 PM
8618,7698,8679,7534,8364,7817,48710,8118.33,12:03 PM
8061,7901,8232,7604,8443,7616,47857,7976.17,12:06 PM
8053,7738,8051,7887,7638,7961,47328,7888.00,12:09 PM
8185,8496,4706,7876,8429,7939,45631,7605.17,12:12 PM
8372,7677,7829,8297,2176,5722,40073,6678.83,12:15 PM
5978,5773,4853,5905,8977,7750,39236,6539.33,12:18 PM
8782,5957,5554,5679,5763,6021,37756,6292.67,12:21 PM
5927,7903,4527,5832,5661,5262,35112,5852.00,12:24 PM
7539,5069,5676,5735,4810,5778,34607,5767.83,12:27 PM
5255,6011,4512,5390,5293,7861,34322,5720.33,12:30 PM
5948,5276,5381,5873,5958,5283,33719,5619.83,12:33 PM
5685,5690,4754,5506,5992,5942,33569,5594.83,12:36 PM
5705,5187,4977,6026,5966,5365,33226,5537.67,12:39 PM
5882,4970,5707,4872,5801,5703,32935,5489.17,12:42 PM
5000,5348,5295,2116,5946,8792,32497,5416.17,12:45 PM
5487,5820,4914,4949,5469,5484,32123,5353.83,12:48 PM
6001,4986,5711,5357,4747,5072,31874,5312.33,12:51 PM
5822,5452,4795,5626,5269,4828,31792,5298.67,12:54 PM
5874,4898,5111,5522,5309,4815,31529,5254.83,12:57 PM
5648,5141,5071,5243,5717,4646,31466,5244.33,1:00 PM
5088,4507,4589,4676,7930,4626,31416,5236.00,1:03 PM
5830,4544,4825,5928,5017,5102,31246,5207.67,1:06 PM
5076,4576,5853,5117,4792,5139,30553,5092.17,1:09 PM
5974,5442,5846,8402,2460,2045,30169,5028.17,1:12 PM
4522,4546,4603,5651,5604,4720,29646,4941.00,1:15 PM
8611,5242,4707,2173,4978,2474,28185,4697.50,
2830,5124,4643,5708,2575,5983,26863,4477.17,
2653,2213,5730,4556,4732,5585,25469,4244.83,
5659,5233,5960,2334,2833,1726,23745,3957.50,
2343,5320,5407,1687,2404,5826,22987,3831.17,
5795,2362,2537,2590,2974,2539,18797,3132.83,
5580,2834,2458,2289,2060,2282,17503,2917.17,
1924,2475,5733,2174,2992,2081,17379,2896.50,
2014,2038,2622,1626,5875,2891,17066,2844.33,
2150,2838,2538,2446,1905,1915,13792,2298.67,
